GlobalRound	GlobalAccuracy
1	21.3400
2	15.0400
3	19.4200
4	24.9000
5	30.4300
6	34.2500
7	35.9400
8	36.6900
9	37.4000
10	38.2000
11	38.3600
12	38.6700
13	39.5500
14	40.2900
15	40.3300
16	41.1200
17	41.7200
18	42.2500
19	42.9300
20	42.7900
21	43.2800
22	43.5400
23	44.3500
24	44.7300
25	45.1600
26	45.7100
27	44.9800
28	46.0400
29	46.0800
30	46.9600
31	46.4500
32	46.1200
33	46.3800
34	46.9700
35	47.4800
36	48.0200
37	48.2000
38	48.9400
39	48.8700
40	48.6900
41	49.2700
42	49.4800
43	48.8900
44	49.7400
45	49.5300
46	49.5000
47	49.7700
48	49.9300
49	50.9900
50	50.5600
