ClientID	NNPass_Train	TrainLoss	NNPass_Test	TestLoss
0	313	2.098879	313	1.930807
0	626	1.862346	626	1.701720
0	939	1.727389	939	1.550614
0	1252	1.631106	1252	1.556261
0	1565	1.567994	1565	1.527177
1	313	2.066403	313	1.913742
1	626	1.823789	626	1.728065
1	939	1.687028	939	1.571213
1	1252	1.591449	1252	1.566847
1	1565	1.526706	1565	1.419933
2	313	2.129294	313	1.945933
2	626	1.926432	626	1.816792
2	939	1.813487	939	1.625913
2	1252	1.737387	1252	1.507026
2	1565	1.684281	1565	1.485203
3	313	2.060134	313	1.919922
3	626	1.783583	626	1.694002
3	939	1.623096	939	1.551097
3	1252	1.505485	1252	1.453313
3	1565	1.425422	1565	1.362708
4	313	2.053832	313	1.859155
4	626	1.779623	626	1.666639
4	939	1.622153	939	1.606317
4	1252	1.496740	1252	1.443029
4	1565	1.417551	1565	1.518059
