GlobalRound	GlobalAccuracy
1	89.0200
2	92.5900
3	95.1300
4	95.4500
5	96.6000
6	96.8400
7	97.2600
8	97.6000
9	97.6600
10	97.2800
11	97.3300
12	97.9400
13	98.0600
14	98.1300
15	98.2400
16	98.1900
17	98.3100
18	98.3800
19	98.3700
20	98.3800
21	98.4500
22	98.4200
23	98.5000
24	98.5300
25	98.4400
26	98.6000
27	98.6100
28	98.6300
29	98.6900
30	98.5400
31	98.6700
32	98.6300
33	98.6400
34	98.7300
35	98.6800
36	98.6900
37	98.7600
38	98.7400
39	98.7700
40	98.6800
41	98.7800
42	98.7900
43	98.7900
44	98.7800
45	98.7500
46	98.7000
47	98.7800
48	98.8100
49	98.7900
50	98.8100
