GlobalRnd   Accuracy
       1    42.6300
       2    89.4900
       3    92.4700
       4    95.0500
       5    95.9600
       6    96.1900
       7    96.4900
       8    97.3100
       9    97.6800
      10    97.7400
      11    97.7900
      12    98.1300
      13    98.2700
      14    98.1200
      15    98.4400
      16    98.5400
      17    98.5300
      18    98.4700
      19    98.5400
      20    98.5800
