GlobalRnd   Accuracy
       1    46.4400
       2    89.9200
       3    94.7000
       4    95.4000
       5    96.7900
       6    96.8400
       7    97.7700
       8    97.8700
       9    98.0700
      10    98.0100
      11    98.2500
      12    98.3700
      13    98.5100
      14    98.5800
      15    98.6500
      16    98.5400
      17    98.7200
      18    98.6700
      19    98.7700
      20    98.8300
      21    98.8300
      22    98.8100
      23    98.8500
      24    98.7900
      25    98.7500
      26    98.8100
      27    98.8800
      28    98.8300
      29    98.8100
      30    98.9000
      31    98.8600
      32    98.9200
      33    98.9700
      34    98.9400
      35    98.9600
      36    98.9800
      37    98.9000
      38    98.9000
      39    98.9800
      40    98.9400
      41    98.9100
      42    98.9500
      43    99.0000
      44    98.9900
      45    98.9900
      46    98.9900
      47    98.9600
      48    98.9800
      49    98.9900
      50    98.9400
